Country Name,Country Code,Indicator Name,Indicator Code,Year,Value,Region,Income Group
Botswana,BWA,Population density (people per sq. km of land area),EN.POP.DNST,2000,2.959755086,Sub-Saharan Africa,Upper middle income
Botswana,BWA,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,2000,,Sub-Saharan Africa,Upper middle income
Botswana,BWA,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,2000,58.69239,Sub-Saharan Africa,Upper middle income
Botswana,BWA,Rural population (% of total population),SP.RUR.TOTL.ZS,2000,46.79522726,Sub-Saharan Africa,Upper middle income
Botswana,BWA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2000,53.20477274,Sub-Saharan Africa,Upper middle income
Botswana,BWA,Urban population growth (annual %),SP.URB.GROW,2000,3.569377791,Sub-Saharan Africa,Upper middle income
Brazil,BRA,Population density (people per sq. km of land area),EN.POP.DNST,2000,20.82021622,Latin America & Caribbean,Upper middle income
Brazil,BRA,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,2000,38.74093413,Latin America & Caribbean,Upper middle income
Brazil,BRA,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,2000,34.73978,Latin America & Caribbean,Upper middle income
Brazil,BRA,Rural population (% of total population),SP.RUR.TOTL.ZS,2000,18.85156346,Latin America & Caribbean,Upper middle income
Brazil,BRA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2000,81.14843654,Latin America & Caribbean,Upper middle income
Brazil,BRA,Urban population growth (annual %),SP.URB.GROW,2000,2.119616139,Latin America & Caribbean,Upper middle income
British Virgin Islands,VGB,Population density (people per sq. km of land area),EN.POP.DNST,2000,134.94,Latin America & Caribbean,High income
British Virgin Islands,VGB,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,2000,,Latin America & Caribbean,High income
British Virgin Islands,VGB,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,2000,3.4601,Latin America & Caribbean,High income
British Virgin Islands,VGB,Rural population (% of total population),SP.RUR.TOTL.ZS,2000,58.01857459,Latin America & Caribbean,High income
British Virgin Islands,VGB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2000,41.98142541,Latin America & Caribbean,High income
British Virgin Islands,VGB,Urban population growth (annual %),SP.URB.GROW,2000,2.78044282,Latin America & Caribbean,High income
Brunei Darussalam,BRN,Population density (people per sq. km of land area),EN.POP.DNST,2000,61.94003795,East Asia & Pacific,High income
Brunei Darussalam,BRN,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,2000,,East Asia & Pacific,High income
Brunei Darussalam,BRN,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,2000,37.41056,East Asia & Pacific,High income
Brunei Darussalam,BRN,Rural population (% of total population),SP.RUR.TOTL.ZS,2000,28.77531945,East Asia & Pacific,High income
Brunei Darussalam,BRN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2000,71.22468055,East Asia & Pacific,High income
Brunei Darussalam,BRN,Urban population growth (annual %),SP.URB.GROW,2000,2.803300273,East Asia & Pacific,High income
Bulgaria,BGR,Population density (people per sq. km of land area),EN.POP.DNST,2000,73.85132423,Europe & Central Asia,High income
Bulgaria,BGR,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,2000,13.80957463,Europe & Central Asia,High income
Bulgaria,BGR,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,2000,0.05,Europe & Central Asia,High income
Bulgaria,BGR,Rural population (% of total population),SP.RUR.TOTL.ZS,2000,31.73685455,Europe & Central Asia,High income
Bulgaria,BGR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2000,68.26314545,Europe & Central Asia,High income
Bulgaria,BGR,Urban population growth (annual %),SP.URB.GROW,2000,-0.178227573,Europe & Central Asia,High income
Burkina Faso,BFA,Population density (people per sq. km of land area),EN.POP.DNST,2000,43.58752193,Sub-Saharan Africa,Low income
Burkina Faso,BFA,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,2000,7.721306848,Sub-Saharan Africa,Low income
Burkina Faso,BFA,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,2000,82.21152,Sub-Saharan Africa,Low income
Burkina Faso,BFA,Rural population (% of total population),SP.RUR.TOTL.ZS,2000,81.99964967,Sub-Saharan Africa,Low income
Burkina Faso,BFA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2000,18.00035033,Sub-Saharan Africa,Low income
Burkina Faso,BFA,Urban population growth (annual %),SP.URB.GROW,2000,7.628791776,Sub-Saharan Africa,Low income
Burundi,BDI,Population density (people per sq. km of land area),EN.POP.DNST,2000,251.954595,Sub-Saharan Africa,Low income
Burundi,BDI,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,2000,,Sub-Saharan Africa,Low income
