Country Name,Country Code,Indicator Name,Indicator Code,Year,Value,Region,Income Group
Latin America & Caribbean,LCN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2000,75.56529388,,
Latin America & Caribbean,LCN,Urban population growth (annual %),SP.URB.GROW,2000,2.083293733,,
Latin America & Caribbean (excluding high income),LAC,Population density (people per sq. km of land area),EN.POP.DNST,2000,25.95893255,,
Latin America & Caribbean (excluding high income),LAC,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,2000,35.33148915,,
Latin America & Caribbean (excluding high income),LAC,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,2000,32.68268767,,
Latin America & Caribbean (excluding high income),LAC,Rural population (% of total population),SP.RUR.TOTL.ZS,2000,24.68134583,,
Latin America & Caribbean (excluding high income),LAC,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2000,75.31865417,,
Latin America & Caribbean (excluding high income),LAC,Urban population growth (annual %),SP.URB.GROW,2000,2.127953087,,
Latin America & the Caribbean (IDA & IBRD countries),TLA,Population density (people per sq. km of land area),EN.POP.DNST,2000,25.33093866,,
Latin America & the Caribbean (IDA & IBRD countries),TLA,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,2000,35.76475197,,
Latin America & the Caribbean (IDA & IBRD countries),TLA,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,2000,32.56169173,,
Latin America & the Caribbean (IDA & IBRD countries),TLA,Rural population (% of total population),SP.RUR.TOTL.ZS,2000,24.5917871,,
Latin America & the Caribbean (IDA & IBRD countries),TLA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2000,75.4082129,,
Latin America & the Caribbean (IDA & IBRD countries),TLA,Urban population growth (annual %),SP.URB.GROW,2000,2.133975491,,
Least developed countries: UN classification,LDC,Population density (people per sq. km of land area),EN.POP.DNST,2000,38.01574945,,
Least developed countries: UN classification,LDC,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,2000,9.919429557,,
Least developed countries: UN classification,LDC,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,2000,61.87947271,,
Least developed countries: UN classification,LDC,Rural population (% of total population),SP.RUR.TOTL.ZS,2000,74.70715155,,
Least developed countries: UN classification,LDC,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2000,25.29284845,,
Least developed countries: UN classification,LDC,Urban population growth (annual %),SP.URB.GROW,2000,3.969488784,,
Low & middle income,LMY,Population density (people per sq. km of land area),EN.POP.DNST,2000,65.22183539,,
Low & middle income,LMY,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,2000,16.73439543,,
Low & middle income,LMY,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,2000,,,
Low & middle income,LMY,Rural population (% of total population),SP.RUR.TOTL.ZS,2000,60.65580336,,
Low & middle income,LMY,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2000,39.34419664,,
Low & middle income,LMY,Urban population growth (annual %),SP.URB.GROW,2000,3.410419231,,
Low income,LIC,Population density (people per sq. km of land area),EN.POP.DNST,2000,31.96761995,,
Low income,LIC,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,2000,10.49752551,,
Low income,LIC,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,2000,67.04105951,,
Low income,LIC,Rural population (% of total population),SP.RUR.TOTL.ZS,2000,73.4584549,,
Low income,LIC,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2000,26.5415451,,
Low income,LIC,Urban population growth (annual %),SP.URB.GROW,2000,3.653795142,,
Lower middle income,LMC,Population density (people per sq. km of land area),EN.POP.DNST,2000,104.6343867,,
